target,value,tid,date,cookie,hashid,ip,platform,webGL,canvas,deviceId
webGL_hash,1437082207,95037040-77ec-4dd8-af2f-240a5f877f38,2020-07-27,09fa10cb472b474d94fd08b0ba3aa23b,,93.159.236.41,web,1437082207,3009703585,119669791
operation_system,Linux x86_64,2a77f365-0be4-4b75-dbe3-babddf36bc2d,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
operation_system,Linux x86_64,3e2cc3a6-a9b0-4c64-6c8d-757f297c3271,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
operation_system,Linux x86_64,43770da9-c01b-43b5-f125-5ac938970785,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
platform,web,2a77f365-0be4-4b75-dbe3-babddf36bc2d,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
platform,web,3e2cc3a6-a9b0-4c64-6c8d-757f297c3271,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
platform,web,43770da9-c01b-43b5-f125-5ac938970785,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
userAgent,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 YaBrowser/20.4.3.268 (beta) Yowser/2.5 Safari/537.36",2a77f365-0be4-4b75-dbe3-babddf36bc2d,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
userAgent,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 YaBrowser/20.4.3.268 (beta) Yowser/2.5 Safari/537.36",3e2cc3a6-a9b0-4c64-6c8d-757f297c3271,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
userAgent,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 YaBrowser/20.4.3.268 (beta) Yowser/2.5 Safari/537.36",43770da9-c01b-43b5-f125-5ac938970785,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
webGL_hash,1437082207,2a77f365-0be4-4b75-dbe3-babddf36bc2d,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
webGL_hash,1437082207,3e2cc3a6-a9b0-4c64-6c8d-757f297c3271,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
webGL_hash,1437082207,43770da9-c01b-43b5-f125-5ac938970785,2020-07-28,09fa10cb472b474d94fd08b0ba3aa23b,3B8F33FD56B578C194655C76928AD76E32E59FE76CA8D951D5C627E66A5CDF27,93.159.236.41,web,1437082207,3009703585,119669791
operation_system,Linux x86_64,36b4a170-4d5f-4653-e9cf-2e016ab80f35,2020-07-29,d9e7a870f8d446eba6663b180a4dc329,0CE6068F62B2658CD80F6EB47A8B285B6181E9BB20073A35077ECEF2D89A48C0,188.170.81.63,web,34018239,957699646,592669099
operation_system,Linux x86_64,63ee60da-68bd-492f-c208-85f36e466e41,2020-07-29,d9e7a870f8d446eba6663b180a4dc329,0CE6068F62B2658CD80F6EB47A8B285B6181E9BB20073A35077ECEF2D89A48C0,188.170.81.63,web,34018239,957699646,592669099
operation_system,Linux x86_64,96c92e90-bea8-449b-3834-a4678ee62733,2020-07-29,d9e7a870f8d446eba6663b180a4dc329,0CE6068F62B2658CD80F6EB47A8B285B6181E9BB20073A35077ECEF2D89A48C0,188.170.81.63,web,34018239,957699646,592669099
operation_system,Linux x86_64,d2360b8a-6cb5-4e42-a724-69e9895b678f,2020-07-29,d9e7a870f8d446eba6663b180a4dc329,0CE6068F62B2658CD80F6EB47A8B285B6181E9BB20073A35077ECEF2D89A48C0,188.170.81.63,web,34018239,957699646,592669099
operation_system,Linux x86_64,e1054c76-9a92-4f7c-b951-6f22959678d5,2020-07-29,d9e7a870f8d446eba6663b180a4dc329,0CE6068F62B2658CD80F6EB47A8B285B6181E9BB20073A35077ECEF2D89A48C0,188.170.81.63,web,34018239,957699646,592669099
platform,web,36b4a170-4d5f-4653-e9cf-2e016ab80f35,2020-07-29,d9e7a870f8d446eba6663b180a4dc329,0CE6068F62B2658CD80F6EB47A8B285B6181E9BB20073A35077ECEF2D89A48C0,188.170.81.63,web,34018239,957699646,592669099
platform,web,63ee60da-68bd-492f-c208-85f36e466e41,2020-07-29,d9e7a870f8d446eba6663b180a4dc329,0CE6068F62B2658CD80F6EB47A8B285B6181E9BB20073A35077ECEF2D89A48C0,188.170.81.63,web,34018239,957699646,592669099
platform,web,96c92e90-bea8-449b-3834-a4678ee62733,2020-07-29,d9e7a870f8d446eba6663b180a4dc329,0CE6068F62B2658CD80F6EB47A8B285B6181E9BB20073A35077ECEF2D89A48C0,188.170.81.63,web,34018239,957699646,592669099
platform,web,d2360b8a-6cb5-4e42-a724-69e9895b678f,2020-07-29,d9e7a870f8d446eba6663b180a4dc329,0CE6068F62B2658CD80F6EB47A8B285B6181E9BB20073A35077ECEF2D89A48C0,188.170.81.63,web,34018239,957699646,592669099
